City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
58,Praia Da Vitoria,PT,2022-01-29 12:12:17,38.7333,-27.0667,59.76,83,23,9.93
59,San Patricio,US,2022-01-29 12:12:17,28.017,-97.5169,42.64,54,35,4.12
60,Dandong,CN,2022-01-29 12:12:18,40.1292,124.3947,20.55,40,0,6.4
61,Khatanga,RU,2022-01-29 12:12:18,71.9667,102.5,-3.89,98,100,5.75
62,Wajima,JP,2022-01-29 12:12:19,37.4,136.9,36.46,85,90,16.51
63,Klaksvik,FO,2022-01-29 12:12:19,62.2266,-6.589,38.32,84,97,54.04
64,Guerrero Negro,MX,2022-01-29 12:10:27,27.9769,-114.0611,59.11,53,0,0.2
65,Doctor Arroyo,MX,2022-01-29 12:12:19,23.6667,-100.1833,43.39,93,100,7.02
66,Busselton,AU,2022-01-29 12:12:20,-33.65,115.3333,82.09,64,3,15.5
67,Bethel,US,2022-01-29 12:12:20,41.3712,-73.414,25.92,82,100,3.0
68,Cidreira,BR,2022-01-29 12:12:21,-30.1811,-50.2056,73.45,60,68,12.84
69,Seoul,KR,2022-01-29 12:11:40,37.5683,126.9778,24.19,35,0,7.2
70,Cayenne,GF,2022-01-29 12:12:21,4.9333,-52.3333,79.09,85,0,4.0
71,Severo-Kurilsk,RU,2022-01-29 12:12:22,50.6789,156.125,22.82,70,98,19.55
72,Tigzirt,DZ,2022-01-29 12:12:22,36.8886,4.1198,57.24,47,0,5.53
73,Barrow,US,2022-01-29 12:12:22,71.2906,-156.7887,-7.58,77,100,13.8
74,Chokurdakh,RU,2022-01-29 12:12:23,70.6333,147.9167,-10.52,82,100,3.2
75,Vestmannaeyjar,IS,2022-01-29 12:12:23,63.4427,-20.2734,29.39,64,0,9.22
76,San Antero,CO,2022-01-29 12:12:24,9.3741,-75.7589,76.89,85,85,10.31
77,Letnica,PL,2022-01-29 12:12:24,51.8981,15.333,40.48,44,100,14.36
78,Kahului,US,2022-01-29 12:12:24,20.8947,-156.47,70.86,72,15,5.75
79,Puerto Ayora,EC,2022-01-29 12:12:25,-0.7393,-90.3518,72.1,86,85,7.65
80,Hithadhoo,MV,2022-01-29 12:12:25,-0.6,73.0833,81.41,65,98,5.12
81,Nishihara,JP,2022-01-29 12:12:26,26.1842,127.7558,63.68,88,75,14.97
82,Cabo San Lucas,MX,2022-01-29 12:12:26,22.8909,-109.9124,68.5,70,13,4.76
83,Yulara,AU,2022-01-29 12:12:26,-25.2406,130.9889,87.64,48,100,13.8
84,Chifeng,CN,2022-01-29 12:12:22,42.2683,118.9636,16.18,38,0,1.74
85,Flin Flon,CA,2022-01-29 12:12:27,54.7682,-101.865,-6.95,100,87,4.65
86,Ust-Uda,RU,2022-01-29 12:12:27,54.1742,103.0304,-14.71,100,61,1.5
87,Nizhniy Tsasuchey,RU,2022-01-29 12:12:28,50.5167,115.1333,-8.54,96,13,5.53
88,Yar-Sale,RU,2022-01-29 12:12:28,66.8333,70.8333,-0.04,92,99,7.85
89,Constitucion,CL,2022-01-29 12:12:28,-35.3333,-72.4167,60.19,82,4,3.0
90,Tiznit,MA,2022-01-29 12:12:29,29.5833,-9.5,65.75,21,0,33.96
91,Muros,ES,2022-01-29 12:12:29,42.7762,-9.0603,60.85,51,7,1.72
92,Marstal,DK,2022-01-29 12:12:30,54.8562,10.5173,48.11,91,100,35.43
93,Lander,US,2022-01-29 12:12:30,42.833,-108.7307,37.81,73,0,0.0
94,Bundaberg,AU,2022-01-29 12:12:31,-24.85,152.35,76.21,83,0,5.01
95,New Norfolk,AU,2022-01-29 12:12:31,-42.7826,147.0587,63.66,54,23,1.7
96,Padang,ID,2022-01-29 12:13:31,-0.9492,100.3543,82.45,88,61,0.43
97,Lorengau,PG,2022-01-29 12:13:32,-2.0226,147.2712,80.2,79,100,7.72
98,Talpa,MX,2022-01-29 12:13:32,28.8257,-111.6257,56.57,64,3,8.55
99,Svetlaya,RU,2022-01-29 12:12:13,46.5389,138.3297,1.26,72,97,10.98
100,Saint-Philippe,RE,2022-01-29 12:13:33,-21.3585,55.7679,83.79,84,39,8.88
101,Nesna,NO,2022-01-29 12:13:33,66.1967,13.0213,36.66,84,100,19.77
102,Siena,IT,2022-01-29 12:13:34,43.2167,11.4,55.78,34,5,1.97
103,Marsa Matruh,EG,2022-01-29 12:13:34,31.3525,27.2453,56.37,69,89,11.99
104,Sur,OM,2022-01-29 12:13:34,22.5667,59.5289,75.27,47,1,6.49
105,Ponta Do Sol,PT,2022-01-29 12:13:35,32.6667,-17.1,68.0,56,51,5.91
106,Vardo,NO,2022-01-29 12:13:35,70.3705,31.1107,21.4,92,100,11.7
107,Avarua,CK,2022-01-29 12:13:36,-21.2078,-159.775,77.05,88,20,4.61
108,Carnarvon,AU,2022-01-29 12:09:10,-24.8667,113.6333,77.07,83,75,13.8
109,Okhotsk,RU,2022-01-29 12:13:36,59.3833,143.3,13.78,80,100,14.56
110,Provideniya,RU,2022-01-29 12:12:18,64.3833,-173.3,1.11,95,11,4.99
111,Hamilton,US,2022-01-29 12:13:37,39.1834,-84.5333,10.09,87,0,0.0
112,Cape Town,ZA,2022-01-29 12:12:02,-33.9258,18.4232,89.11,46,15,5.01
113,Bafra,TR,2022-01-29 12:13:37,41.5678,35.9069,46.18,57,98,7.36
114,Jacmel,HT,2022-01-29 12:13:38,18.2342,-72.5347,75.04,84,25,3.91
115,Atar,MR,2022-01-29 12:13:38,20.5169,-13.0499,81.21,17,100,6.62
116,Santa Maria,BR,2022-01-29 12:12:17,-29.6842,-53.8069,71.04,62,1,10.98
117,Hermanus,ZA,2022-01-29 12:13:39,-34.4187,19.2345,88.9,42,11,20.49
118,Arraial Do Cabo,BR,2022-01-29 12:09:01,-22.9661,-42.0278,76.86,88,75,3.44
119,Nakusp,CA,2022-01-29 12:13:39,50.2499,-117.8023,23.47,96,100,1.83
120,Butaritari,KI,2022-01-29 12:13:39,3.0707,172.7902,81.64,80,58,19.19
121,Eatonton,US,2022-01-29 12:13:40,33.3268,-83.3885,30.0,68,17,1.01
122,Thompson,CA,2022-01-29 12:13:40,55.7435,-97.8558,-5.85,100,99,3.65
123,Tuktoyaktuk,CA,2022-01-29 12:13:41,69.4541,-133.0374,-15.41,95,98,12.24
124,Tasiilaq,GL,2022-01-29 12:13:41,65.6145,-37.6368,14.16,69,97,3.83
125,Belyy Yar,RU,2022-01-29 12:13:41,53.6039,91.3903,-5.91,71,20,2.24
126,Nemuro,JP,2022-01-29 12:13:42,43.3236,145.575,21.83,69,13,15.46
127,Pacifica,US,2022-01-29 12:09:19,37.6138,-122.4869,54.45,75,75,5.99
128,Paita,PE,2022-01-29 12:13:42,-5.0892,-81.1144,71.94,76,100,5.48
129,Linqiong,CN,2022-01-29 12:13:43,30.4159,103.4609,46.31,65,92,1.3
130,Narsaq,GL,2022-01-29 12:13:43,60.9167,-46.05,23.22,96,100,5.95
