City_ID,City,Lat,Lng,Description,Max Temp,Humidity,Cloudiness,Wind Speed,Country
79,Qaanaaq,77.484,-69.3632,overcast clouds,-10.7,83,100,6.93,GL
80,Coquimbo,-29.9533,-71.3436,clear sky,63.5,82,6,5.48,CL
81,San Ramon De La Nueva Oran,-23.1322,-64.326,moderate rain,80.42,70,100,5.01,AR
82,Talnakh,69.4865,88.3972,overcast clouds,-9.08,99,99,6.62,RU
83,Mangai,-4.05,19.5333,overcast clouds,71.76,89,100,1.07,CD
84,Norman Wells,65.282,-126.8329,broken clouds,-24.47,99,71,5.28,CA
85,Santa Isabel Do Rio Negro,-0.4139,-65.0192,moderate rain,74.68,93,100,2.62,BR
86,Aykhal,66.0,111.5,clear sky,-21.35,100,6,2.89,RU
87,Lianzhou,24.7811,112.3825,overcast clouds,38.03,96,98,4.7,CN
88,Bredasdorp,-34.5322,20.0403,clear sky,67.53,78,0,6.91,ZA
89,Lamont,35.2597,-118.9143,clear sky,59.83,34,0,5.88,US
90,Leningradskiy,69.3833,178.4167,scattered clouds,-13.13,94,25,9.73,RU
91,San Patricio,28.017,-97.5169,overcast clouds,73.49,83,100,5.95,US
92,Bluff,-46.6,168.3333,overcast clouds,58.8,65,100,17.09,NZ
93,Palmer,42.1584,-72.3287,overcast clouds,40.73,80,100,0.0,US
94,North Bend,43.4065,-124.2243,overcast clouds,48.24,96,100,0.0,US
95,Faanui,-16.4833,-151.75,few clouds,81.21,75,14,20.09,PF
96,Eluru,16.7,81.1,scattered clouds,68.09,93,39,3.15,IN
97,Kiunga,-6.1219,141.2906,overcast clouds,86.27,55,98,1.97,PG
98,Butaritari,3.0707,172.7902,light rain,81.79,78,100,16.22,KI
99,Port-Cartier,50.0334,-66.8654,overcast clouds,27.75,93,100,10.33,CA
100,Praxedis Guerrero,31.3667,-106.0167,overcast clouds,51.26,53,100,7.74,MX
101,Lata,40.1629,-8.3327,broken clouds,46.06,77,83,1.81,PT
102,Punta Arenas,-53.15,-70.9167,overcast clouds,48.11,70,92,6.17,CL
103,Zarechnyy,53.2036,45.1923,overcast clouds,30.31,65,100,3.96,RU
104,Axim,4.8699,-2.2405,light rain,78.3,85,97,5.73,GH
105,Hovd,48.0056,91.6419,overcast clouds,-6.83,97,89,1.81,MN
106,Namwala,-15.7504,26.4384,light rain,64.36,99,54,3.42,ZM
107,Sitka,57.0531,-135.33,light rain,39.09,93,100,5.75,US
108,Moerai,-22.4333,-151.3333,overcast clouds,79.95,76,100,16.8,PF
109,Sao Filipe,14.8961,-24.4956,clear sky,73.69,75,0,12.21,CV
110,Sabang,5.8933,95.3214,clear sky,81.03,75,8,11.77,ID
111,Glinka,54.6404,32.8781,snow,22.8,96,100,6.46,RU
112,Abeche,13.8292,20.8324,few clouds,63.03,12,21,8.12,TD
113,Topolevo,48.4994,135.1975,clear sky,-4.88,76,0,7.0,RU
114,Lensk,60.7253,114.9278,overcast clouds,-19.5,100,86,4.43,RU
115,Asau,46.4333,26.4,overcast clouds,25.72,86,100,5.53,RO
116,Hermanus,-34.4187,19.2345,clear sky,65.89,86,0,10.85,ZA
117,Ayagoz,47.9714,80.4392,overcast clouds,-3.95,86,100,9.06,KZ
118,Saint-Philippe,-21.3585,55.7679,heavy intensity rain,80.19,95,100,34.02,RE
119,Kutum,14.2,24.6667,scattered clouds,62.51,21,36,10.65,SD
120,Puerto Ayora,-0.7393,-90.3518,clear sky,74.55,93,0,1.99,EC
121,Tuktoyaktuk,69.4541,-133.0374,overcast clouds,-18.51,98,99,9.71,CA
122,Ferkessedougou,9.6,-5.2,scattered clouds,70.63,8,38,3.62,CI
123,Mahebourg,-20.4081,57.7,moderate rain,78.26,88,100,31.88,MU
124,Caucaia,-3.7361,-38.6531,broken clouds,82.04,78,75,6.91,BR
125,Vila Velha,-20.3297,-40.2925,broken clouds,77.95,91,75,2.3,BR
126,Deniliquin,-35.5333,144.9667,clear sky,71.01,32,0,16.53,AU
127,The Valley,18.217,-63.0578,clear sky,78.1,75,1,15.64,AI
128,Port Alfred,-33.5906,26.891,overcast clouds,73.54,92,100,8.9,ZA
129,Plettenberg Bay,-34.0527,23.3716,overcast clouds,69.69,87,100,5.26,ZA
130,Boyuibe,-20.4167,-63.2833,scattered clouds,75.7,57,37,5.68,BO
131,New Norfolk,-42.7826,147.0587,overcast clouds,62.1,91,99,4.43,AU
132,Bilibino,68.0546,166.4372,clear sky,-3.57,66,0,4.99,RU
133,Mbandaka,0.0487,18.2603,overcast clouds,70.95,58,100,2.1,CD
134,Souillac,-20.5167,57.5167,light rain,78.37,89,100,29.62,MU
135,Kavaratti,10.5669,72.642,few clouds,79.72,71,14,10.45,IN
136,Vaini,-21.2,-175.2,clear sky,81.16,69,0,8.1,TO
137,Pringsewu,-5.3582,104.9744,overcast clouds,77.7,83,97,1.66,ID
138,Saldanha,-33.0117,17.9442,clear sky,64.45,90,0,8.08,ZA
139,Nailsea,51.4324,-2.7585,overcast clouds,48.72,88,100,1.99,GB
140,Coahuayana,18.7333,-103.6833,clear sky,78.28,74,0,2.84,MX
141,Yarmouth,41.7057,-70.2286,fog,43.97,96,100,3.44,US
142,Perevolotskiy,51.8763,54.1938,light snow,22.1,97,100,8.39,RU
143,Adrar,20.5022,-10.0711,clear sky,66.22,20,0,10.65,MR
144,Bac Lieu,9.285,105.7244,overcast clouds,80.01,76,93,16.13,VN
145,Saint Anthony,45.0205,-93.218,clear sky,3.24,60,0,7.0,US
146,Archidona,37.0965,-4.3887,overcast clouds,53.37,41,100,3.71,ES
147,East London,-33.0153,27.9116,light rain,73.87,94,100,8.77,ZA
148,Reitz,-27.8014,28.4273,clear sky,62.83,70,5,3.02,ZA
149,Mbalmayo,3.5167,11.5,scattered clouds,67.24,97,40,3.33,CM
150,Hambantota,6.1241,81.1185,few clouds,68.34,100,20,2.3,LK
151,Isiro,2.7739,27.616,overcast clouds,68.94,43,100,1.45,CD
152,Miri,4.4148,114.0089,few clouds,78.96,86,13,3.2,MY
153,Wonthaggi,-38.6044,145.5913,overcast clouds,66.2,65,100,17.36,AU
154,Bata,1.8639,9.7658,overcast clouds,79.45,81,100,8.77,GQ
155,Port Moresby,-9.4431,147.1797,overcast clouds,85.17,55,99,6.91,PG
156,Pafos,34.7667,32.4167,clear sky,53.38,76,0,8.05,CY
157,Bara,10.3744,10.7288,clear sky,64.06,16,0,7.54,NG
158,Yakeshi,49.2833,120.7333,overcast clouds,-22.68,100,98,3.62,CN
159,Jinka,5.65,36.65,overcast clouds,72.99,38,100,1.36,ET
160,Cidreira,-30.1811,-50.2056,clear sky,75.49,86,5,18.97,BR
161,Pacific Grove,36.6177,-121.9166,clear sky,62.71,31,0,1.01,US
162,Severo-Kurilsk,50.6789,156.125,overcast clouds,30.67,76,100,10.07,RU
163,Chokurdakh,70.6333,147.9167,overcast clouds,-20.83,98,100,6.96,RU
164,Mar Del Plata,-38.0023,-57.5575,moderate rain,71.13,74,100,9.73,AR
165,Kaitangata,-46.2817,169.8464,moderate rain,54.25,95,100,3.04,NZ
166,Tocopilla,-22.092,-70.1979,clear sky,70.41,71,2,11.74,CL
167,Kamaishi,39.2667,141.8833,scattered clouds,34.72,52,34,13.76,JP
168,Torbay,47.6666,-52.7314,few clouds,22.28,90,14,5.99,CA
169,Diffa,13.3154,12.6113,scattered clouds,61.29,16,36,9.98,NE
170,Antsohihy,-14.8796,47.9875,overcast clouds,73.71,96,100,1.59,MG
171,Pangnirtung,66.1451,-65.7125,overcast clouds,4.78,86,100,7.23,CA
172,Marigot,18.0667,-63.0833,clear sky,78.04,76,0,15.97,MF
173,Puerto Del Rosario,28.5004,-13.8627,overcast clouds,69.55,73,100,4.61,ES
174,Borovskoy,53.8,64.15,overcast clouds,16.38,96,95,7.92,KZ
175,Mugur-Aksy,50.35,90.5,scattered clouds,-9.94,85,29,5.53,RU
176,Bayan,46.0833,127.4,broken clouds,-0.33,94,84,6.71,CN
177,Ilulissat,69.2167,-51.1,mist,-0.38,46,100,25.32,GL
178,Rincon,32.296,-81.2354,light rain,63.05,93,100,4.61,US
179,Georgetown,5.4112,100.3354,few clouds,80.89,80,20,3.44,MY
180,Beringovskiy,63.05,179.3167,overcast clouds,8.71,74,100,22.75,RU
181,Broome,42.2506,-75.833,broken clouds,40.37,71,75,1.99,US
182,Presidencia Roque Saenz Pena,-26.7852,-60.4388,overcast clouds,89.6,25,85,6.15,AR
183,Nemuro,43.3236,145.575,clear sky,24.73,68,7,7.96,JP
184,Juybar,36.6412,52.9124,clear sky,47.64,53,0,4.54,IR
185,Dingle,10.9995,122.6711,broken clouds,80.74,78,70,13.09,PH
186,La Palma,33.8464,-118.0467,clear sky,65.28,18,0,5.01,US
187,Mahibadhoo,3.7833,72.9667,clear sky,81.45,72,4,10.29,MV
188,Zyryanka,65.75,150.85,overcast clouds,-17.63,97,100,6.29,RU
189,Evensk,61.95,159.2333,clear sky,18.57,47,7,18.39,RU
190,Cabo San Lucas,22.8909,-109.9124,broken clouds,72.7,67,75,9.22,MX
191,Longyearbyen,78.2186,15.6401,clear sky,15.64,67,0,24.16,SJ
192,Kirillov,59.863,38.3813,overcast clouds,11.71,97,100,3.44,RU
193,Narasannapeta,18.4167,84.05,few clouds,67.77,87,14,3.69,IN
194,Jhelum,32.9331,73.7264,overcast clouds,51.69,80,99,10.87,PK
195,Lethem,3.3803,-59.7968,few clouds,80.85,61,14,7.92,GY
196,Nome,64.5011,-165.4064,clear sky,11.1,53,0,33.38,US
197,Meulaboh,4.1363,96.1285,broken clouds,77.05,83,61,2.95,ID
198,Bengkulu,-3.8004,102.2655,broken clouds,78.35,80,75,3.91,ID
199,Butterworth,5.3991,100.3638,few clouds,81.0,80,20,3.44,MY
200,Keti Bandar,24.1447,67.4497,clear sky,68.67,45,1,17.9,PK
201,Hoquiam,46.9809,-123.8893,light rain,46.38,92,100,11.5,US
202,Kwekwe,-18.9281,29.8149,light rain,66.72,94,96,1.36,ZW
203,Poronaysk,49.2167,143.1167,overcast clouds,9.23,75,85,8.79,RU
204,Cockburn Town,21.4612,-71.1419,broken clouds,73.36,78,75,13.8,TC
205,Datong,40.0936,113.2914,few clouds,15.04,44,16,3.36,CN
206,Ust-Nera,64.5667,143.2,overcast clouds,-12.57,99,100,2.68,RU
207,Esperance,-33.8667,121.9,clear sky,69.35,53,6,15.5,AU
208,Puerto Carreno,6.189,-67.4859,overcast clouds,77.85,78,94,3.0,CO
209,Cariati,39.4922,16.9594,clear sky,51.19,60,1,27.47,IT
210,Inhuma,-6.6683,-41.7078,few clouds,74.3,54,17,5.35,BR
211,Seoul,37.5683,126.9778,clear sky,27.91,33,0,7.78,KR
212,Luebo,-5.35,21.4167,overcast clouds,70.52,99,100,0.51,CD
213,Smirnykh,49.75,142.8333,overcast clouds,8.64,72,100,8.16,RU
214,Alofi,-19.0595,-169.9187,broken clouds,80.49,83,75,13.8,NU
215,Sutatausa,5.2478,-73.8524,overcast clouds,50.83,79,100,4.21,CO
216,Hede,33.7681,120.2517,overcast clouds,36.55,53,99,3.83,CN
217,San Jeronimo,-11.9472,-75.2829,overcast clouds,53.11,78,96,4.09,PE
218,Irtyshskiy,58.3333,68.1333,overcast clouds,13.68,97,99,8.08,RU
219,Thinadhoo,0.5333,72.9333,clear sky,82.0,71,0,5.01,MV
220,Chuy,-33.6971,-53.4616,clear sky,71.13,86,0,11.63,UY
221,College,64.8569,-147.8028,few clouds,-12.01,71,20,0.0,US
222,Martapura,-3.4167,114.85,heavy intensity rain,75.29,94,40,2.3,ID
223,Castro,-24.7911,-50.0119,clear sky,63.57,96,1,6.29,BR
224,Port Hawkesbury,45.6169,-61.3485,overcast clouds,32.92,84,100,5.01,CA
225,Kristiansund,63.1115,7.732,few clouds,32.65,69,20,5.75,NO
226,Visegrad,43.7847,19.2992,light snow,33.12,97,89,5.73,BA
227,Dolores,-36.3132,-57.6792,light rain,66.33,82,92,5.53,AR
228,Curup,-3.4667,102.5333,broken clouds,71.76,91,72,2.77,ID
229,Kuusamo,65.9667,29.1833,overcast clouds,12.24,85,100,2.3,FI
230,Samarai,-10.6167,150.6667,overcast clouds,84.88,65,100,7.47,PG
231,Clyde River,70.4692,-68.5914,light snow,-16.37,76,100,12.66,CA
232,Itoman,26.1247,127.6694,broken clouds,70.18,92,75,13.8,JP
233,Coihaique,-45.5752,-72.0662,scattered clouds,60.75,67,40,8.05,CL
234,Colac,-38.3333,143.5833,overcast clouds,62.62,58,100,11.48,AU
235,Qianan,44.9932,124.0581,few clouds,-2.79,82,12,4.29,CN
236,Whitehorse,60.7161,-135.0538,overcast clouds,-3.98,67,100,5.99,CA
237,Tanete,-3.9443,119.7848,light rain,81.12,80,100,5.17,ID
238,Ponta Do Sol,32.6667,-17.1,overcast clouds,67.01,80,99,8.79,PT
239,Payakumbuh,-0.2202,100.6308,broken clouds,72.97,93,54,2.04,ID
240,Kununurra,-15.7667,128.7333,scattered clouds,82.38,69,40,9.22,AU
241,Vidisha,23.5333,77.8167,clear sky,58.41,55,3,5.41,IN
242,Ozu,33.5,132.55,overcast clouds,47.17,57,100,9.6,JP
243,Khatanga,71.9667,102.5,scattered clouds,-36.22,99,36,2.19,RU
244,Vianopolis,-16.7419,-48.5164,light rain,67.82,89,100,1.52,BR
245,Mulchen,-37.7167,-72.2333,clear sky,68.49,56,7,3.11,CL
246,Caravelas,-17.7125,-39.2481,few clouds,76.37,90,12,5.03,BR
247,Praia Da Vitoria,38.7333,-27.0667,scattered clouds,56.75,83,25,5.86,PT
248,Abu Kamal,34.4506,40.9171,overcast clouds,50.02,51,100,9.44,SY
249,Concepcion Del Uruguay,-32.4825,-58.2372,overcast clouds,83.98,59,100,1.99,AR
250,Sao Miguel,-5.4667,-35.3667,few clouds,81.37,77,16,12.21,BR
251,Laguna,38.421,-121.4238,clear sky,59.05,33,0,7.0,US
252,Husavik,66.0449,-17.3389,overcast clouds,19.94,92,86,1.28,IS
253,Canete,-37.8,-73.4,scattered clouds,58.28,94,45,3.67,CL
254,Saint-Pierre,-21.3393,55.4781,light rain,80.28,89,100,33.38,RE
255,Merrill,45.1805,-89.6835,clear sky,10.17,49,0,9.22,US
256,Saint-Augustin,51.226,-58.6502,overcast clouds,25.7,90,100,23.02,CA
257,Killybegs,54.6333,-8.45,overcast clouds,48.45,88,100,16.13,IE
258,Ilebo,-4.3167,20.5833,light rain,72.0,98,100,0.49,CD
259,Chara,56.9064,118.2631,overcast clouds,-22.59,86,89,0.43,RU
260,Karratha,-20.7377,116.8463,few clouds,86.38,61,14,8.19,AU
261,Geraldton,-28.7667,114.6,clear sky,91.81,15,0,31.07,AU
262,Monrovia,6.3005,-10.7969,scattered clouds,78.73,84,29,5.86,LR
263,Khuzhir,53.1939,107.3397,broken clouds,0.01,94,70,1.83,RU
264,Urucui,-7.2294,-44.5561,clear sky,77.29,73,1,1.57,BR
265,Lahat,-3.8,103.5333,overcast clouds,76.44,90,90,1.25,ID
266,Kloulklubed,7.0419,134.2556,overcast clouds,82.9,76,100,18.45,PW
267,Totskoye,52.5248,52.7623,snow,27.77,94,100,12.57,RU
268,Valparaiso,-33.0393,-71.6273,clear sky,62.24,82,0,4.61,CL
269,Sumbe,-11.2061,13.8437,scattered clouds,74.44,80,31,5.32,AO
270,Pachino,36.7186,15.0907,clear sky,37.44,64,0,7.14,IT
271,Sao Joao Da Barra,-21.6403,-41.0511,moderate rain,74.71,91,100,6.42,BR
272,Aklavik,68.2191,-135.0107,overcast clouds,-24.41,98,99,3.78,CA
273,Nieuw Amsterdam,5.8833,-55.0833,overcast clouds,79.02,88,97,10.18,SR
274,Khandyga,62.6667,135.6,overcast clouds,-29.65,96,100,1.63,RU
275,Fez,34.0372,-4.9998,clear sky,50.25,37,0,4.61,MA
276,Morehead,37.2711,-87.1764,mist,39.99,96,100,1.99,US
277,Corner Brook,48.9667,-57.9484,broken clouds,25.21,92,77,4.47,CA
278,Port Lincoln,-34.7333,135.8667,broken clouds,65.19,58,75,15.64,AU
279,Pangoa,-12.1167,-73.0,few clouds,68.65,94,16,1.68,PE
280,Tura,25.5198,90.2201,overcast clouds,59.47,47,94,3.4,IN
281,Ventspils,57.3894,21.5606,clear sky,28.33,69,0,5.75,LV
282,Madera,37.1666,-119.8343,clear sky,54.86,59,0,2.19,US
283,Mount Isa,-20.7333,139.5,broken clouds,82.17,74,75,14.97,AU
284,Kurchum,48.5722,83.6542,few clouds,-14.75,94,11,1.01,KZ
285,Jalu,29.0331,21.5482,few clouds,51.31,60,17,20.02,LY
286,Sur,22.5667,59.5289,clear sky,71.04,58,1,17.72,OM
287,Ilesha,7.1371,5.2583,clear sky,67.19,68,0,2.86,NG
288,Naze,28.3667,129.4833,overcast clouds,55.27,85,100,23.44,JP
289,Longhua,23.6137,114.1919,overcast clouds,48.27,93,100,4.29,CN
290,Touba,8.2833,-7.6833,few clouds,70.0,17,15,2.33,CI
291,Srednekolymsk,67.45,153.6833,overcast clouds,-23.44,98,100,2.1,RU
292,Novomyshastovskaya,45.1991,38.5827,overcast clouds,46.62,66,100,13.94,RU
293,Russell,32.3502,-85.1999,light rain,65.8,73,100,3.44,US
294,Pevek,69.7008,170.3133,clear sky,-6.63,74,0,4.12,RU
295,Moussoro,13.6408,16.4901,clear sky,62.1,14,2,10.25,TD
296,Bathsheba,13.2167,-59.5167,few clouds,75.81,83,20,19.57,BB
297,Ahipara,-35.1667,173.1667,broken clouds,76.35,63,67,14.52,NZ
298,Cuamba,-14.8031,36.5372,overcast clouds,67.33,96,94,1.86,MZ
299,Havelock,34.8791,-76.9013,overcast clouds,55.0,82,99,1.99,US
300,Atar,20.5169,-13.0499,clear sky,71.51,21,0,7.52,MR
301,Pristen,51.2355,36.6959,light snow,26.28,98,100,3.78,RU
302,Korop,51.5664,32.9586,overcast clouds,28.74,91,100,6.91,UA
303,Coracao De Jesus,-16.6853,-44.365,overcast clouds,69.76,92,100,5.28,BR
304,Boguchany,58.3814,97.4531,light snow,11.26,96,100,2.35,RU
305,Acapulco,16.8634,-99.8901,clear sky,78.62,65,0,8.05,MX
306,Kindu,-2.95,25.95,overcast clouds,69.49,92,100,1.16,CD
